SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Saratoga Sale (2021),,188,B,C,KITTEN'S JOY,SEARCH AND SEIZURE,WAR CHANT,INDIAN CREEK AGENT,,,,03/25/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,189,DKB,C,DISTORTED HUMOR,SECRET NO MORE,UNBRIDLED'S SONG,MACHMER HALL SALES AGENT FOR MACHMER HALL,,,,02/19/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,190,DKB,C,UNIFIED,SEEKING LUCK,SEEKING THE GOLD,TAYLOR MADE SALES AGENCY AGENT XV,,,,04/29/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,191,B,C,CANDY RIDE (ARG),SHANANIES SONG,ELTISH,VINERY SALES AGENT I,,,,02/14/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,192,DKB,F,JUSTIFY,SHARE THE MUSIC,UNBRIDLED'S SONG,TAYLOR MADE SALES AGENCY AGENT XXXVIII,,,,05/08/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,193,B,C,BOLT D'ORO,SILENT TRIUMPH,CITY ZIP,BACCARI BLOODSTOCK LLC AGENT I,,,,01/29/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,194,B,C,INTO MISCHIEF,SILVERETTE,STREET SENSE,EATON SALES AGENT FOR SPENDTHRIFT FARM LLC,,,,01/12/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,195,DKB,F,MENDELSSOHN,SIMPLY CONFECTION,CANDY RIDE (ARG),INDIAN CREEK AGENT,,,,03/15/2020,FLORIDA,6,,,
The Saratoga Sale (2021),,196,CH,F,MENDELSSOHN,SINGING KITTY,MINISTERS WILD CAT,VINERY SALES AGENT FOR SPENDTHRIFT FARM LLC,,,,03/17/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,197,CH,F,LORD NELSON,SLICED BREAD,NOONMARK,FOUR STAR SALES AGENT FOR SPENDTHRIFT FARM LLC,,,,02/20/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,198,DKB,F,UNCLE MO,SMART SHOPPING,SMART STRIKE,MILL RIDGE SALES AGENT,,,,03/12/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,199,CH,F,GOOD MAGIC,SOARWITHTHEBIRDS,GIANT'S CAUSEWAY,BUCK POND FARM (DOUGLAS S. ARNOLD) AGENT,,,,03/16/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,200,B,C,QUALITY ROAD,SONG OF BERNADETTE,BERNARDINI,DENALI STUD AGENT FOR BRIDLEWOOD FARM,,,,04/26/2020,FLORIDA,7A,,,
The Saratoga Sale (2021),,201,B,F,INTO MISCHIEF,SOUTHERN RING,SPEIGHTSTOWN,SAM-SON FARM,,,,03/13/2020,ONTARIO,10,,,
The Saratoga Sale (2021),,202,GRR,C,QUALITY ROAD,STAGEPLAY,CURLIN,LEGACY BLOODSTOCK AGENT,,,,03/26/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,203,DKB,C,ARROGATE,STELLARIS,HARLAN'S HOLIDAY,ST GEORGE SALES AGENT I,,,,05/02/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,204,CH,F,JUSTIFY,STORM DIXIE,CATIENUS,PARAMOUNT SALES AGENT V,,,,02/22/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,205,DKB,C,TWIRLING CANDY,STYLISH WAYS,EMPIRE MAKER,PARAMOUNT SALES AGENT VII,,,,01/28/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,206,B,C,STREET SENSE,SWEETER THAN EVER,EXCHANGE RATE,HUNTER VALLEY FARM AGENT,,,,03/24/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,207,CH,C,CURLIN,SWEET SEVENTEEN,HARD SPUN,GAINESWAY AGENT XIII,,,,02/13/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,208,GRR,C,TAPIT,SWEET TALKIN,CANDY RIDE (ARG),FOUR STAR SALES AGENT,,,,02/07/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,209,B,C,CITY OF LIGHT,SWINGIT,VICTORY GALLOP,DENALI STUD AGENT FOR BAYNE & CHRISTINA WELKER,,,,05/13/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,210,B,F,BOLT D'ORO,SYDNEY'S KISS,BOSTON HARBOR,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,05/04/2020,FLORIDA,3,,,
