SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Saratoga Sale (2021),,76,B,C,GUN RUNNER,DAYFA,TIZNOW,DENALI STUD AGENT IX,,,,03/09/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,77,DKB,F,WAR FRONT,DECEPTIVE VISION,A.P. INDY,SAM-SON FARM,,,,02/10/2020,ONTARIO,10,,,
The Saratoga Sale (2021),,78,B,F,BROKEN VOW,DINNER WITH D C,DIXIE UNION,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,03/04/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,79,GRR,C,CANDY RIDE (ARG),DISTURBINGLY HOT,UNBRIDLED'S SONG,MACHMER HALL SALES AGENT FOR MACHMER HALL,,,,03/06/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,80,B,C,MENDELSSOHN,DOGWOOD TRAIL,AWESOME OF COURSE,FOUR STAR SALES AGENT FOR MALIBU FARM,,,,02/01/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,81,CH,C,JUSTIFY,DOROTHY'S AURORA,SIMON PURE,WOODFORD THOROUGHBREDS AGENT CLX,,,,02/08/2020,NEW YORK,8,,,
The Saratoga Sale (2021),,82,B,F,UNCLE MO,DREAMING OF YOU,PIONEEROF THE NILE,DENALI STUD AGENT V,,,,01/26/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,83,CH,F,JUSTIFY,EASTER LILY (IRE),GALILEO (IRE),EATON SALES AGENT,,,,01/15/2020,IRE,9,,,
The Saratoga Sale (2021),,84,DKB,C,MEDAGLIA D'ORO,ELTIMAAS,GHOSTZAPPER,MACHMER HALL SALES AGENT FOR MACHMER HALL I,,,,03/11/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,85,B,F,BERNARDINI,ELUSIVE HOPE,ELUSIVE QUALITY,KAIZEN SALES (RICHARD KENT) AGENT VI,,,,04/04/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,86,B,C,MASTERY,EMMY DARLING,GRAEME HALL,GAINESWAY AGENT IV,,,,03/02/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,87,DKB,C,MASTERY,ENGAGED,MALIBU MOON,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,02/15/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,88,DKB,F,UNCLE MO,ENTH,SEEKING THE GOLD,GAINESWAY AGENT VI,,,,05/04/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,89,GRR,F,INTO MISCHIEF,ERVSAYSLETHERGO,HOLD ME BACK,TAYLOR MADE SALES AGENCY AGENT XXI,,,,03/11/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,90,B,F,JUSTIFY,ESSENTIAL ROSE,BERNARDINI,WARRENDALE SALES AGENT II,,,,03/04/2020,PENNSYLVANIA,1,,,
The Saratoga Sale (2021),,91,B,C,BOLT D'ORO,EYEPOPNRUBY,TAKE ME OUT,TAYLOR MADE SALES AGENCY AGENT XLI,,,,04/05/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,92,GRR,C,TAPIT,FEATHERED,INDIAN CHARLIE,LANE'S END AGENT,,,,04/15/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,93,B,F,QUALITY ROAD,FIFTH AVENUE BALL,DEPUTY MINISTER,TAYLOR MADE SALES AGENCY AGENT XV,,,,02/13/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,94,DKB,F,NYQUIST,FINANCIAL RECOVERY,STREET CRY (IRE),TAYLOR MADE SALES AGENCY AGENT XXI,,,,02/22/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,95,GRR,C,MUNNINGS,FLASK,MARIA'S MON,STONE FARM AGENT,,,,01/27/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,96,DKB,C,CITY OF LIGHT,FLATTERMEWITHROSES,FLATTER,HUNTER VALLEY FARM AGENT,,,,03/27/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,97,B,F,STREET SENSE,FLAUNTED,TALE OF THE CAT,INDIAN CREEK AGENT,,,,05/31/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,98,GRR,C,TAPIT,FLEET OF GOLD,MEDAGLIA D'ORO,GAINESWAY AGENT IX,,,,05/04/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,99,B,C,GOOD MAGIC,FOLLOW MOON,MALIBU MOON,MACHMER HALL SALES AGENT FOR MACHMER HALL I,,,,03/09/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,100,DKB,C,NYQUIST,FROYO STAR,ROCKPORT HARBOR,ST GEORGE SALES AGENT VII,,,,04/10/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,101,CH,F,JUSTIFY,FUHRIOUSLY KISSED,LANGFUHR,DENALI STUD AGENT FOR RIVER BEND FARM,,,,02/12/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,102,B,F,AMERICAN PHAROAH,FUNFAIR,MORE THAN READY,PARAMOUNT SALES AGENT IX,,,,02/01/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,103,B,F,BOLT D'ORO,GARNET,SMART STRIKE,FOUR STAR SALES AGENT FOR MALIBU FARM,,,,02/14/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,104,B,C,MENDELSSOHN,GHOST FLOWER,GHOSTZAPPER,SOUTH POINT SALES AGENCY AGENT X,,,,05/20/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,105,B,F,JUSTIFY,GLAMORISTA,UNBRIDLED'S SONG,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,03/08/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,106,B,C,CANDY RIDE (ARG),GOLDEN DOMER,QUALITY ROAD,TAYLOR MADE SALES AGENCY AGENT FOR SPENDTHRIFT FARM LLC,,,,01/25/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,107,DKB,C,GHOSTZAPPER,GRAND PORTEGE,GRAND SLAM,TAYLOR MADE SALES AGENCY AGENT XXXIII,,,,04/16/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,108,B,C,INTO MISCHIEF,GREENFIELD D'ORO,MEDAGLIA D'ORO,BLUEWATER SALES LLC AGENT II,,,,03/12/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,109,DKB,F,GHOSTZAPPER,HANDWOVEN,INDIAN CHARLIE,BACCARI BLOODSTOCK LLC AGENT II,,,,04/25/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,110,CH,C,ARROGATE,HARLAN'S ROMANCE,HARLAN'S HOLIDAY,WARRENDALE SALES AGENT III,,,,03/21/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,111,B,C,QUALITY ROAD,HARMONIZE,SCAT DADDY,BROOKDALE SALES AGENT,,,,03/14/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,112,DKB,F,NO NAY NEVER,HARVESTFORTHEWORLD (IRE),SO YOU THINK (NZ),BALLYSAX BLOODSTOCK AGENT FOR GRANTLEY ACRES,,,,04/07/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,113,B,C,UNCLE MO,HEAT STREET,STREET CRY (IRE),BLUEWATER SALES LLC AGENT II,,,,02/15/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,114,B,C,QUALITY ROAD,HUNG THE MOON,MALIBU MOON,TAYLOR MADE SALES AGENCY AGENT LX,,,,05/06/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,115,CH,C,ARMY MULE,HURRYUPANDCOMEBACK,MIZZEN MAST,MILL RIDGE SALES AGENT,,,,02/11/2020,MARYLAND,5,,,
The Saratoga Sale (2021),,116,B,C,LAOBAN,INCLINATION,VICTORY GALLOP,BLUEWATER SALES LLC AGENT X,,,,04/26/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,117,B,C,WAR FRONT,INDY PUNCH,PULLING PUNCHES,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,05/22/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,118,GRR,F,JUSTIFY,IRISH BLESSING,UNBRIDLED'S SONG,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,04/25/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,119,B,C,BOLT D'ORO,I THINK SO,PROUD CITIZEN,DENALI STUD AGENT VII,,,,03/02/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,120,B,F,MEDAGLIA D'ORO,JOURNEY HOME,WAR FRONT,SAM-SON FARM,,,,03/05/2020,ONTARIO,10,,,
The Saratoga Sale (2021),,121,DKB,C,BOLT D'ORO,JUST LOUISE,FIVE STAR DAY,PARAMOUNT SALES AGENT X,,,,04/18/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,122,GRR,C,PRACTICAL JOKE,KASHAMI,MIZZEN MAST,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,05/09/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,123,B,F,INTO MISCHIEF,KEESHA,TAPIT,EATON SALES AGENT,,,,01/29/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,124,GRR,F,JUSTIFY,KOSMO'S BUDDY,OUTFLANKER,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,03/04/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,125,B,C,GOOD MAGIC,KRAZY KATHY,HARLAN'S HOLIDAY,INDIAN CREEK AGENT,,,,04/17/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,126,B,C,UNCLE MO,LADY TAPIT,TAPIT,PARAMOUNT SALES AGENT VI,,,,01/17/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,127,DKB,C,GOOD MAGIC,LE RELAIS,CORONADO'S QUEST,HILL 'N' DALE SALES AGENCY AGENT FOR STONESTREET BRED & RAISED,,,,03/07/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,128,GRR,F,CURLIN,LESLEY MAY,TAPIT,WARRENDALE SALES AGENT FOR STONESTREET BRED & RAISED,,,,02/12/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,129,B,F,UNION RAGS,LESLIE'S HARMONY,CURLIN,DENALI STUD AGENT FOR BRIDLEWOOD FARM,,,,04/29/2020,FLORIDA,7A,,,
The Saratoga Sale (2021),,130,B,F,FROSTED,LOGIC OF ABSURDITY,BODEMEISTER,MARSHALL W. SILVERMAN AGENT,,,,03/26/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,131,DKB,F,STREET SENSE,LOOM,HARD SPUN,WARRENDALE SALES AGENT V,,,,01/31/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,132,B,C,BOLT D'ORO,LOTTA KIM,ROAR,HILL 'N' DALE SALES AGENCY AGENT,,,,03/02/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,133,B,F,OSCAR PERFORMANCE,LOVELY ISLAND,ARCH,MILL RIDGE SALES AGENT,,,,04/20/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,134,DKB,C,BLAME,LOVELY STAY,FLOWER ALLEY,DARBY DAN FARM AGENT VI,,,,05/03/2020,PENNSYLVANIA,1,,,
The Saratoga Sale (2021),,135,B,F,STREET SENSE,LUCEVAN,GHOSTZAPPER,FOUR STAR SALES AGENT,,,,04/16/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,136,CH,F,MORE THAN READY,LUCKY DRAW,LOOKIN AT LUCKY,SOUTH POINT SALES AGENCY AGENT,,,,03/12/2020,PENNSYLVANIA,8,,,
The Saratoga Sale (2021),,137,DKB,F,QUALITY ROAD,LUCY N ETHEL,DURING,WOODFORD THOROUGHBREDS AGENT I,,,,01/19/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,138,CH,F,GOOD MAGIC,LUNA VEGA,MALIBU MOON,FOUR STAR SALES AGENT,,,,03/29/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,139,GRR,F,TAPIT,MADAME STRIPES (ARG),EQUAL STRIPES (ARG),GAINESWAY AGENT VIII,,,,01/28/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,140,B,C,ARMY MULE,MADE ME SHIVER,MACLEAN'S MUSIC,HILL 'N' DALE SALES AGENCY AGENT,,,,04/14/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,141,CH,F,KANTHAROS,MARCELLINA D'ORO,MEDAGLIA D'ORO,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT FOR STONESTREET BRED & RAISED,,,,02/19/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,142,B,C,TAPIT,MARCH X PRESS,SHANGHAI BOBBY,BEDOUIN BLOODSTOCK AGENT II,,,,02/11/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,143,CH,F,MUNNINGS,MARRAKESH EXPRESS,UNION RAGS,SOUTH POINT SALES AGENCY AGENT VI,,,,02/01/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,144,B,C,BOLT D'ORO,MARY EDNA,PIONEEROF THE NILE,SOUTH POINT SALES AGENCY AGENT XI,,,,02/21/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,146,B,C,BOLT D'ORO,MARY RITA,DISTORTED HUMOR,TAYLOR MADE SALES AGENCY AGENT FOR CLEARSKY FARMS,,,,02/24/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,147,CH,C,UNION RAGS,MEETMEONLINE,LINE OF DAVID,PARAMOUNT SALES AGENT I,,,,02/28/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,148,GRR,F,ARMY MULE,MELODY LADY,UNBRIDLED'S SONG,TAYLOR MADE SALES AGENCY AGENT XXX,,,,02/07/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,149,B,C,UNCLE MO,MERRY MEADOW,HENNY HUGHES,TAYLOR MADE SALES AGENCY AGENT LXXVIII,,,,03/07/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,150,B,C,MORE THAN READY,MEXICAN MOONLIGHT,EL PRADO (IRE),BUCKLAND SALES (ZACH MADDEN) AGENT II,,,,05/10/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,151,B,F,INTO MISCHIEF,MISS HOLLYWOOD,MALIBU MOON,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,04/18/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,152,B,C,PRACTICAL JOKE,MISS UTADA,RAHY,GAINESWAY AGENT VII,,,,03/12/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,153,GRR,F,ARROGATE,MO BIG CAT,UNCLE MO,EATON SALES AGENT,,,,02/14/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,154,B,F,CITY OF LIGHT,MODESTY BLAISE,A.P. INDY,LANE'S END AGENT,,,,01/29/2020,KENTUCKY,7C,,,
